Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Craske M.G.","7005445441;","Refining our research practices in clinical science: Challenges and steps towards solutions",2019,"Behaviour Research and Therapy","116",,,"90","93",,,"10.1016/j.brat.2019.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062639431&doi=10.1016%2fj.brat.2019.03.006&partnerID=40&md5=a577ce3068b58f16506de82dfeba09dc","Department of Psychology, University of California, Los Angeles, United States, United States","Craske, M.G., Department of Psychology, University of California, Los Angeles, United States, United States",[No abstract available],,Editorial,"Final",,Scopus,2-s2.0-85062639431
"Brinckman A., Chard K., Gaffney N., Hategan M., Jones M.B., Kowalik K., Kulasekaran S., Ludäscher B., Mecum B.D., Nabrzyski J., Stodden V., Taylor I.J., Turk M.J., Turner K.","57200541562;9132950200;57203863473;7801541118;57203774541;35731592500;57192812213;8902316800;57200880343;6602731292;15623425400;9733768300;24077308500;57200879827;","Computing environments for reproducibility: Capturing the “Whole Tale”",2019,"Future Generation Computer Systems","94",,,"854","867",,6,"10.1016/j.future.2017.12.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042565331&doi=10.1016%2fj.future.2017.12.029&partnerID=40&md5=3321d1a2e329d6d9412c9693deb17ad4","School of Information Sciences, University of Illinois at Urbana–Champaign, United States; Computation Institute, University of Chicago, United States; Argonne National Laboratory, United States; Texas Advanced Computing Center, University of Texas at Austin, United States; National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, United States; Center for Research Computing, University of Notre Dame, United States; National Center for Supercomputing Applications, University of Illinois at Urbana–Champaign, United States; School of Computer Science, Cardiff University, Cardiff, United Kingdom","Brinckman, A., Center for Research Computing, University of Notre Dame, United States; Chard, K., Computation Institute, University of Chicago, United States, Argonne National Laboratory, United States; Gaffney, N., Texas Advanced Computing Center, University of Texas at Austin, United States; Hategan, M., Computation Institute, University of Chicago, United States, Argonne National Laboratory, United States; Jones, M.B., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, United States; Kowalik, K., National Center for Supercomputing Applications, University of Illinois at Urbana–Champaign, United States; Kulasekaran, S., Texas Advanced Computing Center, University of Texas at Austin, United States; Ludäscher, B., School of Information Sciences, University of Illinois at Urbana–Champaign, United States, National Center for Supercomputing Applications, University of Illinois at Urbana–Champaign, United States; Mecum, B.D., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, United States; Nabrzyski, J., Center for Research Computing, University of Notre Dame, United States; Stodden, V., School of Information Sciences, University of Illinois at Urbana–Champaign, United States, National Center for Supercomputing Applications, University of Illinois at Urbana–Champaign, United States; Taylor, I.J., Center for Research Computing, University of Notre Dame, United States, School of Computer Science, Cardiff University, Cardiff, United Kingdom; Turk, M.J., School of Information Sciences, University of Illinois at Urbana–Champaign, United States, National Center for Supercomputing Applications, University of Illinois at Urbana–Champaign, United States; Turner, K., National Center for Supercomputing Applications, University of Illinois at Urbana–Champaign, United States","The act of sharing scientific knowledge is rapidly evolving away from traditional articles and presentations to the delivery of executable objects that integrate the data and computational details (e.g., scripts and workflows) upon which the findings rely. This envisioned coupling of data and process is essential to advancing science but faces technical and institutional barriers. The Whole Tale project aims to address these barriers by connecting computational, data-intensive research efforts with the larger research process—transforming the knowledge discovery and dissemination process into one where data products are united with research articles to create “living publications” or tales. The Whole Tale focuses on the full spectrum of science, empowering users in the long tail of science, and power users with demands for access to big data and compute resources. We report here on the design, architecture, and implementation of the Whole Tale environment. © 2018 The Authors","Code sharing; Data sharing; Living publications; Provenance; Reproducibility",Article,"Final",Open Access,Scopus,2-s2.0-85042565331
"Bertoli A., Dafoe A., Trager R.F.","57200271607;14035294700;12806456400;","Is There a War Party? Party Change, the Left–Right Divide, and International Conflict",2019,"Journal of Conflict Resolution","63","4",,"950","975",,1,"10.1177/0022002718772352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053429965&doi=10.1177%2f0022002718772352&partnerID=40&md5=dfd0c7f5ae71722a70119daeb3edf866","Dickey Center for International Understanding, Dartmouth College, Hanover, NH, United States; Department of Political Science, Yale University, New Haven, CT, United States; Department of Political Science, University of California, Los Angeles, CA, United States","Bertoli, A., Dickey Center for International Understanding, Dartmouth College, Hanover, NH, United States; Dafoe, A., Department of Political Science, Yale University, New Haven, CT, United States; Trager, R.F., Department of Political Science, University of California, Los Angeles, CA, United States","Are leaders from certain parties particularly likely to engage in military conflict? This question is difficult to answer because of selection bias. For example, countries may be more likely to elect right-wing leaders if their publics are more hawkish or if the international system is particularly dangerous. Put simply, who comes to power is not random, which makes causal inference difficult. We overcome this problem by using a regression discontinuity design. Specifically, we look at close presidential elections that were essentially “tossups” between two candidates. We find that electing right-wing candidates increases state aggression. We also find that electing candidates from challenger parties makes countries much more likely to initiate military disputes, particularly in the first year of the new leader’s term. This result is consistent with other studies that find that the likelihood of state aggression increases following major leadership transitions. © The Author(s) 2018.","domestic politics; foreign policy; interstate conflict; militarized interstate disputes; political leadership",Article,"Final",,Scopus,2-s2.0-85053429965
"Bzdok D., Ioannidis J.P.A.","37021155400;57206755161;","Exploration, Inference, and Prediction in Neuroscience and Biomedicine",2019,"Trends in Neurosciences","42","4",,"251","262",,,"10.1016/j.tins.2019.02.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061935561&doi=10.1016%2fj.tins.2019.02.001&partnerID=40&md5=05d232bf0acb7629dbd8d026fbf8ab6f","Department of Psychiatry, Psychotherapy, and Psychosomatics, Rheinisch-Westfälische Technische Hochschule (RWTH) Aachen University, Aachen, 52072, Germany; Jülich Aachen Research Alliance (JARA), Translational Brain Medicine, Aachen, Germany; Parietal Team, Institut National de Recherche en Informatique et en Automatique (INRIA), Neurospin, Commissariat à l'Energie Atomique (CEA) Saclay, Gif-sur-Yvette, 91191, France; Meta-Research Innovation Center at Stanford, Stanford University, Stanford, CA, United States; Departments of Medicine, of Health Research and Policy, of Biomedical Data Science, and of Statistics, Stanford University, Stanford, CA, United States","Bzdok, D., Department of Psychiatry, Psychotherapy, and Psychosomatics, Rheinisch-Westfälische Technische Hochschule (RWTH) Aachen University, Aachen, 52072, Germany, Jülich Aachen Research Alliance (JARA), Translational Brain Medicine, Aachen, Germany, Parietal Team, Institut National de Recherche en Informatique et en Automatique (INRIA), Neurospin, Commissariat à l'Energie Atomique (CEA) Saclay, Gif-sur-Yvette, 91191, France; Ioannidis, J.P.A., Meta-Research Innovation Center at Stanford, Stanford University, Stanford, CA, United States, Departments of Medicine, of Health Research and Policy, of Biomedical Data Science, and of Statistics, Stanford University, Stanford, CA, United States","Recent decades have seen dramatic progress in brain research. These advances were often buttressed by probing single variables to make circumscribed discoveries, typically through null hypothesis significance testing. New ways for generating massive data fueled tension between the traditional methodology that is used to infer statistically relevant effects in carefully chosen variables, and pattern-learning algorithms that are used to identify predictive signatures by searching through abundant information. In this article we detail the antagonistic philosophies behind two quantitative approaches: certifying robust effects in understandable variables, and evaluating how accurately a built model can forecast future outcomes. We discourage choosing analytical tools via categories such as ‘statistics’ or ‘machine learning’. Instead, to establish reproducible knowledge about the brain, we advocate prioritizing tools in view of the core motivation of each quantitative analysis: aiming towards mechanistic insight or optimizing predictive accuracy. © 2019 Elsevier Ltd","big-data analytics; black box models; data science; deep learning; precision medicine; reproducibility",Review,"Final",,Scopus,2-s2.0-85061935561
"Allen J., Smith J.L., Ransdell L.B.","7406422060;9276686200;6603780501;","Missing or seizing the opportunity? The effect of an opportunity hire on job offers to science faculty candidates",2019,"Equality, Diversity and Inclusion","38","2",,"160","177",,,"10.1108/EDI-09-2017-0201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059918021&doi=10.1108%2fEDI-09-2017-0201&partnerID=40&md5=784524806a768ad4f52de64062f46ac1","Department of Psychology and Neuroscience, Drake University, Des Moines, IA, United States; Department of Psychology, University of Colorado Colorado Springs, Colorado Springs, CO, United States; College of Health and Human Services, Northern Arizona University, Flagstaff, AZ, United States","Allen, J., Department of Psychology and Neuroscience, Drake University, Des Moines, IA, United States; Smith, J.L., Department of Psychology, University of Colorado Colorado Springs, Colorado Springs, CO, United States; Ransdell, L.B., College of Health and Human Services, Northern Arizona University, Flagstaff, AZ, United States","Purpose: As universities grapple with broadening participation of women in science, many ADVANCE funded institutions hone in on transforming search committee practices to better consider dual-career partners and affirmative action hires (“opportunity hires”). To date, there is a lack of empirical research on the consequences and processes underlying such a focus. The purpose of this paper is to examine whether and how two ADVANCE-recommended hiring practices, dual-career hiring and affirmative action hiring, help or hinder women’s participation in academic science. Design/methodology/approach: In two experiments, the authors tested what happens to a science candidate’s evaluation and offer when that candidate reveals he or she has a dual-career partner (vs is a solo-candidate, Experiment 1) or if it is revealed that the candidate under review is the dual-hire partner or is a target of opportunity hire (vs primary candidate, Experiment 2). A random US national sample of academic scientists provided anonymous external recommendations to an ostensible faculty search committee. Findings: Evaluators supported the job offer to a primary candidate requiring a heterosexual partner accommodation. This good news, however, was offset by the results of Experiment 2, which showed that support for the partner or affirmative action candidate depended on the evaluator’s gender. Taken together, the research identifies important personal and contextual features that sometimes do – and sometimes do not – impact hiring perceptions of women in science. Originality/value: The authors believe the effects of such an emphasis on opportunity hires within ADVANCE funded institutions may be considerable and inform changes to policies and practices that help bring about gender equality. © 2019, Emerald Publishing Limited.","Affirmative action; Dual-career accommodation; Gender equality; Women in science",Article,"Final",,Scopus,2-s2.0-85059918021
"Wuttke A.","57200495515;","Why Too Many Political Science Findings Cannot Be Trusted and What We Can Do About It: A Review of Meta-Scientific Research and a Call for Academic Reform [Forschung als soziales Dilemma: Eine meta-wissenschaftliche Bestandsaufnahme zur Glaubwürdigkeit politikwissenschaftlicher Befunde und ein Appell zur Veränderung akademischer Anreizstrukturen]",2019,"Politische Vierteljahresschrift","60","1",,"","",,,"10.1007/s11615-018-0131-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056332027&doi=10.1007%2fs11615-018-0131-7&partnerID=40&md5=2fd1cae8843c4bcfcbac048618115ebf","Universität Mannheim, Mannheim, Germany","Wuttke, A., Universität Mannheim, Mannheim, Germany","Witnessing the ongoing “credibility revolutions” in other disciplines, political science should also engage in meta-scientific introspection. Theoretically, this commentary describes why scientists in academia’s current incentive system work against their self-interest if they prioritize research credibility. Empirically, a comprehensive review of meta-scientific research with a focus on quantitative political science demonstrates that threats to the credibility of political science findings are systematic and real. Yet, the review also shows the discipline’s recent progress toward more credible research. The commentary proposes specific institutional changes to better align individual researcher rationality with the collective good of verifiable, robust, and valid scientific results. © 2018, Deutsche Vereinigung für Politikwissenschaft.","Open Science; Publication bias; Replicability; Replication crisis; Transparency",Review,"Final",,Scopus,2-s2.0-85056332027
"Paxton A., Tullett A.","55618999100;36198893200;","Open Science in Data-Intensive Psychology and Cognitive Science",2019,"Policy Insights from the Behavioral and Brain Sciences","6","1",,"47","55",,,"10.1177/2372732218790283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062617597&doi=10.1177%2f2372732218790283&partnerID=40&md5=304102755cd2c410f65e44db900fd83d","University of California, Berkeley, United States; The University of Alabama, Tuscaloosa, United States","Paxton, A., University of California, Berkeley, United States; Tullett, A., The University of Alabama, Tuscaloosa, United States","Today, researchers can collect, analyze, and share more data than ever before. Not only does increasing technological capacity open the door to new data-intensive perspectives in cognitive science and psychology (i.e., research that takes advantage of complex or large-scale data to understand human cognition and behavior), but increasing connectedness has sparked exponential increases in the ease and practice of scientific transparency. The growing open science movement encourages researchers to share data, materials, methods, and publications with other scientists and the wider public. Open science benefits data-intensive psychological science, the public, and public policy, and we present recommendations to improve the adoption of open science practices by changing the academic incentive structure and by improving the education pipeline. Despite ongoing questions about implementing open science guidelines, policy makers have an unprecedented opportunity to shape the next frontier of scientific discovery. © The Author(s) 2018.","cognitive science; data-intensive science; educational policy; grant funding; open science; psychological science; psychology; public policy; transparency",Article,"Final",,Scopus,2-s2.0-85062617597
"Curley C., Krause R.M., Feiock R., Hawkins C.V.","56224252100;36872708100;6602814751;36088948600;","Dealing with Missing Data: A Comparative Exploration of Approaches Using the Integrated City Sustainability Database",2019,"Urban Affairs Review","55","2",,"591","615",,1,"10.1177/1078087417726394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041590231&doi=10.1177%2f1078087417726394&partnerID=40&md5=2af74a6368831cf43ea7931f0eae94fa","Indiana University–Purdue University Indianapolis, Indianapolis, IN, United States; University of Kansas, Lawrence, KS, United States; Florida State University, Tallahassee, FL, United States; University of Central Florida, Orlando, FL, United States","Curley, C., Indiana University–Purdue University Indianapolis, Indianapolis, IN, United States; Krause, R.M., University of Kansas, Lawrence, KS, United States; Feiock, R., Florida State University, Tallahassee, FL, United States; Hawkins, C.V., University of Central Florida, Orlando, FL, United States","Studies of governments and local organizations using survey data have played a critical role in the development of urban studies and related disciplines. However, missing data pose a daunting challenge for this research. This article seeks to raise awareness about the treatment of missing data in urban studies research by comparing and evaluating three commonly used approaches to deal with missing data—listwise deletion, single imputation, and multiple imputation. Comparative analyses illustrate the relative performance of these approaches using the second-generation Integrated City Sustainability Database (ICSD). The results demonstrate the benefit of using an approach to missing data based on multiple imputation, using a theoretically informed and statistically supported set of predictor variables to develop a more complete sample that is free of issues raised by nonresponse in survey data. The results confirm the usefulness of the ICSD in the study of environmental and sustainability and other policy in U.S. cities. We conclude with a discussion of results and provide a set of recommendations for urban researcher scholars. © The Author(s) 2017.","imputation; missing data; sustainability; urban policy",Article,"Final",,Scopus,2-s2.0-85041590231
"Nakagawa S., Samarasinghe G., Haddaway N.R., Westgate M.J., O'Dea R.E., Noble D.W.A., Lagisz M.","55949096500;56512228300;54997981700;35184437500;56287540500;16417562500;6506268307;","Research Weaving: Visualizing the Future of Research Synthesis",2019,"Trends in Ecology and Evolution","34","3",,"224","238",,1,"10.1016/j.tree.2018.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058691870&doi=10.1016%2fj.tree.2018.11.007&partnerID=40&md5=6b689abc30a40ce9ec7009ce4a0f5791","Evolution & Ecology Research Centre and School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW  2052, Australia; Diabetes and Metabolism Division, Garvan Institute of Medical Research, 384 Victoria Street, Darlinghurst, Sydney, NSW  2010, Australia; Stockholm Environment Institute, Box 24218, Stockholm, 104 51, Sweden; Africa Centre for Evidence, University of Johannesburg, Johannesburg, South Africa; Fenner School of Environment and Society, The Australian National University, ActonACT  2601, Australia; Division of Ecology and Evolution, Research School of Biology, The Australian National University, ActonACT  2601, Australia","Nakagawa, S., Evolution & Ecology Research Centre and School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW  2052, Australia, Diabetes and Metabolism Division, Garvan Institute of Medical Research, 384 Victoria Street, Darlinghurst, Sydney, NSW  2010, Australia; Samarasinghe, G., Evolution & Ecology Research Centre and School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW  2052, Australia; Haddaway, N.R., Stockholm Environment Institute, Box 24218, Stockholm, 104 51, Sweden, Africa Centre for Evidence, University of Johannesburg, Johannesburg, South Africa; Westgate, M.J., Fenner School of Environment and Society, The Australian National University, ActonACT  2601, Australia; O'Dea, R.E., Evolution & Ecology Research Centre and School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW  2052, Australia, Diabetes and Metabolism Division, Garvan Institute of Medical Research, 384 Victoria Street, Darlinghurst, Sydney, NSW  2010, Australia; Noble, D.W.A., Evolution & Ecology Research Centre and School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW  2052, Australia, Division of Ecology and Evolution, Research School of Biology, The Australian National University, ActonACT  2601, Australia; Lagisz, M., Evolution & Ecology Research Centre and School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW  2052, Australia","We propose a new framework for research synthesis of both evidence and influence, named research weaving. It summarizes and visualizes information content, history, and networks among a collection of documents on any given topic. Research weaving achieves this feat by combining the power of two methods: systematic mapping and bibliometrics. Systematic mapping provides a snapshot of the current state of knowledge, identifying areas needing more research attention and those ready for full synthesis. Bibliometrics enables researchers to see how pieces of evidence are connected, revealing the structure and development of a field. We explain how researchers can use some or all of these tools to gain a deeper, more nuanced understanding of the scientific literature. © 2018 Elsevier Ltd","big data; data visualization; evidence synthesis; meta-analysis; meta-research; systematic review",Review,"Final",,Scopus,2-s2.0-85058691870
"Biagioli M., Kenney M., Martin B.R., Walsh J.P.","7003973560;7102990407;7402931873;55451365200;","Academic misconduct, misrepresentation and gaming: A reassessment",2019,"Research Policy","48","2",,"401","413",,,"10.1016/j.respol.2018.10.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056713173&doi=10.1016%2fj.respol.2018.10.025&partnerID=40&md5=677f2df264bb27e3e6708ddbf40d0f3e","Center for Science & Innovation Studies, University of California, Davis, CA  95616, United States; Department of Human Ecology, University of California, Davis, CA  95616, United States; Science Policy Research Unit (SPRU), University of Sussex, Brighton, United Kingdom; School of Public Policy, Georgia Institute of Technology, Atlanta, Georgia","Biagioli, M., Center for Science & Innovation Studies, University of California, Davis, CA  95616, United States; Kenney, M., Department of Human Ecology, University of California, Davis, CA  95616, United States; Martin, B.R., Science Policy Research Unit (SPRU), University of Sussex, Brighton, United Kingdom; Walsh, J.P., School of Public Policy, Georgia Institute of Technology, Atlanta, Georgia",[No abstract available],,Editorial,"Final",,Scopus,2-s2.0-85056713173
